C.D.S.  -  SIMBAD4 rel 1.5.11  -  2017.04.14CEST16:44:09

sptype >= 'L0' & sptype <= 'Y9'
-------------------------------

Number of objects : 1946

 #  |           identifier           |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|--------------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
44  |WISEP J062442.27+662626.1       |BD*|06 24 42.27 +66 26 26.1    |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
45  |ULAS J163836.80+281003.0        |BD?|16 38 36.80 +28 10 03.0    |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
46  |2MASS J18095256-0448081         |BD*|18 09 52.560 -04 48 08.15  |     ~|     ~|     ~|     ~|     ~|T1             |   5|   0
47  |2MASS J09475046+1008018         |BD*|09 47 50.465 +10 08 01.81  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
48  |2MASS J17502385+4222373         |BD*|17 50 23.853 +42 22 37.35  |     ~|     ~|     ~|     ~|     ~|T2             |  13|   0
49  |2MASS J16130232-2124283         |BD*|16 13 02.32 -21 24 28.4    |     ~|     ~|     ~|     ~|     ~|L0             |  10|   0
50  |ULAS J020013.18+090835.2        |Ro*|02 00 13.18 +09 08 35.2    |     ~|     ~|     ~|     ~|     ~|T6             |   2|   0
51  |2MASS J13464634-0031501         |BD*|13 46 46.345 -00 31 50.13  |     ~|     ~|     ~|     ~|     ~|T6.5           |  62|   0
52  |ULAS J231536.93+034422.7        |Ro*|23 15 36.93 +03 44 22.7    |     ~|     ~|     ~|     ~|     ~|T7             |   1|   0
53  |2MASS J01075242+0041563         |BD*|01 07 52.422 +00 41 56.40  |     ~|     ~|     ~|     ~|     ~|L8             |  33|   0
54  |2MASS J02271036-1624479         |BD*|02 27 10.361 -16 24 47.95  |     ~|     ~|     ~|     ~|16.846|L1.5           |  17|   0
55  |2MASS J23584196+0006212         |PM*|23 58 41.97 +00 06 21.3    |     ~|     ~|     ~|     ~|     ~|L1.5           |   2|   0
56  |[ASB2009] J142534.1+325204      |BD*|14 25 34.1 +32 52 04       |     ~|     ~|     ~|     ~|     ~|T3             |   1|   0
57  |2MASS J17310140+5310476         |BD*|17 31 01.408 +53 10 47.61  |     ~|     ~|     ~|     ~|     ~|L5             |   7|   0
58  |2MASS J08004815+4658256         |BD*|08 00 48.155 +46 58 25.63  |     ~|     ~|     ~|     ~|     ~|L2             |   5|   0
59  |WISE J064723.23-623235.5        |BD*|06 47 23.237 -62 32 35.52  |     ~|     ~|     ~|     ~|     ~|Y1             |   7|   0
