C.D.S.  -  SIMBAD4 rel 1.5.11  -  2017.04.14CEST16:44:09

sptype >= 'L0' & sptype <= 'Y9'
-------------------------------

Number of objects : 1946

 #  |           identifier           |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|--------------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
430 |2MASS J13293723+0357297         |BD*|13 29 37.230 +03 57 29.71  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
431 |BRLT 147                        |BD*|11 57 59.039 +09 22 00.68  |     ~|     ~|     ~|     ~|     ~|T3.0           |   1|   0
432 |2MASS J08583693+2710518         |BD*|08 58 36.939 +27 10 51.83  |     ~|     ~|     ~|     ~|     ~|L0             |   4|   0
433 |2MASS J11593850+0057268         |BD*|11 59 38.508 +00 57 26.87  |     ~|     ~|     ~|     ~|     ~|L0             |  19|   0
434 |BRLT 335                        |BD*|23 27 32.152 +01 02 52.85  |     ~|     ~|     ~|     ~|     ~|L4.0           |   2|   0
435 |2MASS J16122764-2156407         |BD*|16 12 27.65 -21 56 40.7    |     ~|     ~|     ~|     ~|     ~|L0             |   5|   0
436 |2MASS J12054348+6057284         |BD*|12 05 43.481 +60 57 28.50  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
437 |EQ J0307+2904                   |BD*|03 07 24.57 +29 04 47.6    |     ~|     ~|     ~|     ~|     ~|T6.5           |   4|   0
438 |2MASS J04132039-0114248         |BD*|04 13 20.39 -01 14 24.9    |     ~|     ~|     ~|     ~|     ~|L0.5           |   7|   0
439 |2MASS J10345117+1258407         |BD*|10 34 51.175 +12 58 40.77  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
440 |2MASS J14212864+0732238         |BD*|14 21 28.640 +07 32 23.89  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
441 |EQ J0500-1223                   |BD*|05 00 03.05 -12 23 43.2    |     ~|     ~|     ~|     ~|     ~|T8             |   3|   0
442 |SDSS J103026.78+021306.4        |*  |10 30 26.787 +02 13 06.49  |     ~|     ~|     ~|     ~|     ~|L9.5           |   7|   0
443 |2MASS J16150413+1340079         |BD*|16 15 04.135 +13 40 07.93  |     ~|     ~|     ~|     ~|     ~|T6             |  11|   0
444 |ULAS J234716.98-011009.1        |BD*|23 47 16.989 -01 10 09.15  |     ~|     ~|     ~|     ~|     ~|L9.0           |   2|   0
445 |WISE J125448.52-072828.4        |BD*|12 54 48.52 -07 28 28.4    |     ~|     ~|     ~|     ~|     ~|T7             |   1|   0
446 |Cl* Melotte 22 KPNO 2           |BD*|03 45 43.165 +25 40 23.34  |     ~|     ~|     ~|     ~|17.36 |L0             | 100|   0
447 |2MASS J00360925+2413434         |BD*|00 36 09.258 +24 13 43.41  |     ~|     ~|     ~|     ~|     ~|L6             |   3|   0
448 |2MASS J17334227-1654500         |BD*|17 33 42.27 -16 54 50.0    |     ~|     ~|     ~|     ~|16.82 |L0.5           |   6|   0
449 |2MASS J21075409-4544064         |BD*|21 07 54.094 -45 44 06.47  |     ~|     ~|     ~|     ~|18.05 |L0             |   5|   0
450 |2MASS J16270592-2418402         |BD*|16 27 05.927 -24 18 40.22  |     ~|     ~|     ~|     ~|     ~|L3             |   9|   0
451 |EQ J0221+3842                   |BD*|02 21 05.94 +38 42 02.9    |     ~|     ~|     ~|     ~|     ~|T6.5           |   3|   0
452 |BRLT 203                        |BD*|13 16 10.131 +03 12 05.56  |     ~|     ~|     ~|     ~|     ~|T3.0           |   1|   0
453 |2MASS J10132597-7842551         |BD*|10 13 25.972 -78 42 55.14  |     ~|     ~|     ~|     ~|     ~|L3             |   1|   0
454 |2MASS J10170754+1308398         |BD*|10 17 07.541 +13 08 39.88  |     ~|     ~|     ~|     ~|17.418|L3             |  18|   0
455 |2MASS J14224128+2340118         |BD*|14 22 41.287 +23 40 11.89  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
456 |BD+21 2486C                     |BD*|13 05 41.068 +20 46 39.45  |     ~|     ~|     ~|     ~|     ~|L5             |   6|   0
457 |2MASS J23322678+1234530         |BD*|23 32 26.788 +12 34 53.03  |     ~|     ~|     ~|     ~|     ~|L5+T5?         |   1|   0
458 |EQ J0656+4205                   |BD*|06 56 09.60 +42 05 31.0    |     ~|     ~|     ~|     ~|     ~|T3             |   4|   0
459 |ULAS J161938.12+300756.4        |Ro*|16 19 38.12 +30 07 56.4    |     ~|     ~|     ~|     ~|     ~|T5             |   2|   0
460 |2MASS J01004911-1933398         |BD*|01 00 49.11 -19 33 39.8    |     ~|     ~|17.86 |     ~|     ~|L3.0           |   3|   0
461 |CD-35 10525B                    |BD*|15 49 12.09 -35 39 03.9    |     ~|     ~|     ~|     ~|     ~|L1.5           |  77|   1
462 |DENIS J0205.4-1159              |BD*|02 05 29.401 -11 59 29.67  |     ~|     ~|     ~|     ~|     ~|L7+L7          | 127|   0
463 |2MASS J00061406+1604546         |BD*|00 06 14.062 +16 04 54.70  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
464 |2MASS J04354290+1323449         |BD*|04 35 42.903 +13 23 44.99  |     ~|     ~|     ~|     ~|     ~|L3.5           |   4|   0
465 |2MASS J11260310+4819256         |BD*|11 26 03.101 +48 19 25.65  |     ~|     ~|     ~|     ~|     ~|L5             |   1|   0
466 |EQ J0623-0456                   |BD*|06 23 09.94 -04 56 24.6    |     ~|     ~|     ~|     ~|     ~|T8             |   5|   0
467 |2MASS J04390101-2353083         |BD*|04 39 01.012 -23 53 08.33  |     ~|     ~|     ~|     ~|     ~|L4.5           |  27|   0
468 |2MASS J21324036+1029494         |BD*|21 32 40.36 +10 29 49.5    |     ~|     ~|     ~|     ~|     ~|L5.5           |   7|   0
469 |SDSS J115700.50+061105.2        |BD*|11 57 00.499 +06 11 05.11  |     ~|     ~|     ~|     ~|     ~|T1.5           |   7|   0
470 |ULAS J093245.48+310206.4        |Ro*|09 32 45.48 +31 02 06.4    |     ~|     ~|     ~|     ~|     ~|T2             |   1|   0
471 |2MASS J12154430-3420594         |BD*|12 15 44.31 -34 20 59.5    |     ~|     ~|     ~|     ~|     ~|T4.5           |   5|   0
472 |2MASS J01205114-5200349         |BD*|01 20 51.142 -52 00 34.94  |     ~|     ~|     ~|     ~|     ~|L1             |   3|   0
473 |BRLT 153                        |BD*|12 03 23.747 -01 56 55.82  |     ~|     ~|     ~|     ~|     ~|L1.0           |   1|   0
474 |2MASS J15210327+0131426         |BD*|15 21 03.27 +01 31 42.7    |     ~|     ~|     ~|     ~|     ~|T2             |  14|   0
475 |ULAS J082155.56+250939.8        |Ro*|08 21 55.56 +25 09 39.8    |     ~|     ~|     ~|     ~|     ~|T4.5           |   2|   0
476 |ULAS J094349.60+094203.4        |*  |09 43 49.60 +09 42 03.4    |     ~|     ~|     ~|     ~|     ~|T4.5p          |   2|   0
477 |2MASSI J1404449+463429          |BD*|14 04 44.959 +46 34 29.80  |     ~|     ~|     ~|     ~|     ~|L0             |   5|   0
478 |2MASS J16091143+2116584         |BD*|16 09 11.439 +21 16 58.45  |     ~|     ~|     ~|     ~|     ~|L2             |   2|   0
479 |WISE J161441.46+173935.5        |BD*|16 14 41.45 +17 39 36.7    |     ~|     ~|     ~|     ~|     ~|T9             |   8|   0
480 |2MASS J17114716+2331310         |BD*|17 11 47.164 +23 31 31.00  |     ~|     ~|     ~|     ~|     ~|L3.5           |   3|   0
481 |2MASS J10511071+3141303         |BD*|10 51 10.713 +31 41 30.38  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
482 |2MASS J17065487-1314396         |BD*|17 06 54.873 -13 14 39.69  |     ~|     ~|     ~|     ~|     ~|L5pec          |   1|   0
483 |2MASS J09555995-7342489         |BD*|09 55 59.953 -73 42 48.96  |     ~|     ~|     ~|20.459|18.455|L0.0           |   1|   0
484 |2MASS J07500495+3306180         |BD*|07 50 04.958 +33 06 18.07  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
485 |2MASS J14165987+5006258         |BD*|14 16 59.87 +50 06 25.8    |     ~|     ~|     ~|     ~|     ~|L4.5           |   8|   0
486 |2MASS J21243864+1849263         |BD*|21 24 38.650 +18 49 26.32  |     ~|     ~|     ~|     ~|     ~|L9             |   1|   0
487 |2MASS J16123057+2800105         |BD*|16 12 30.570 +28 00 10.56  |     ~|     ~|     ~|     ~|     ~|L2             |   1|   0
488 |SDSS J163655.90+002526.4        |BD*|16 36 55.909 +00 25 26.40  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
489 |2MASS J03274091-3148156         |BD*|03 27 40.918 -31 48 15.70  |     ~|     ~|     ~|     ~|     ~|L3             |   1|   0
490 |ULAS J094806.06+064805.0        |BD*|09 48 06.06 +06 48 05.0    |     ~|     ~|     ~|     ~|     ~|T7             |   6|   0
491 |2MASS J13111387+2401056         |BD*|13 11 13.872 +24 01 05.62  |     ~|     ~|     ~|     ~|     ~|L3             |   1|   0
492 |WISE J025934.00-034645.7        |BD*|02 59 34.00 -03 46 45.7    |     ~|     ~|     ~|     ~|     ~|T5             |   2|   0
493 |ULAS J222958.30+010217.2        |BD*|22 29 58.305 +01 02 17.24  |     ~|     ~|     ~|     ~|     ~|T3.0           |   6|   0
494 |2MASS J08584074+0308308         |BD*|08 58 40.740 +03 08 30.88  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
495 |WISP J1232-0033                 |BD*|12 32 42.42 -00 33 06.7    |     ~|     ~|     ~|     ~|     ~|T7             |   2|   0
496 |ULAS J162655.04+252446.8        |Ro*|16 26 55.04 +25 24 46.8    |     ~|     ~|     ~|     ~|     ~|T5             |   1|   0
497 |2MASSI J0518461-275645          |BD*|05 18 46.170 -27 56 45.79  |     ~|     ~|     ~|     ~|     ~|L0             |  13|   0
498 |2MASS J10595185+3042059         |BD*|10 59 51.86 +30 42 05.9    |     ~|     ~|     ~|     ~|     ~|T8             |   5|   0
499 |2MASS J14183814+1455229         |BD*|14 18 38.148 +14 55 22.96  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
500 |BRLT 295                        |BD*|15 31 28.473 +07 37 55.06  |     ~|     ~|     ~|     ~|     ~|L4.0           |   1|   0
501 |WISE J013525.64+171503.4        |BD*|01 35 25.64 +17 15 03.4    |     ~|     ~|     ~|     ~|     ~|T6             |   3|   0
502 |** BOY 10Ab                     |BD*|17 28 11.514 +39 48 59.36  |     ~|     ~|     ~|     ~|     ~|L6.5           |   2|   0
503 |2MASS J18131803+5101246         |BD*|18 13 18.036 +51 01 24.64  |     ~|     ~|     ~|     ~|     ~|L4.5           |   2|   0
504 |[BKM2008] HC22c09-1735l         |LM?|04 30 38.7 +13 09 57       |     ~|     ~|     ~|     ~|21.58 |T2             |   5|   0
505 |ULAS J123828.51+095351.3        |BD*|12 38 28.51 +09 53 51.3    |     ~|     ~|     ~|     ~|     ~|T8.5           |  14|   0
506 |2MASS J14480497+0608024         |BD*|14 48 04.977 +06 08 02.43  |     ~|     ~|     ~|     ~|     ~|L0             |   3|   0
507 |2MASSI J2325453+425148          |BD*|23 25 45.306 +42 51 48.82  |     ~|     ~|     ~|     ~|     ~|L8             |   9|   0
508 |2MASS J23185497-1301106         |BD*|23 18 54.975 -13 01 10.68  |     ~|     ~|     ~|     ~|     ~|T5             |   2|   0
509 |ULAS J130217.21+130851.2        |BD*|13 02 17.21 +13 08 51.2    |     ~|     ~|     ~|     ~|     ~|T8.5           |   9|   0
510 |BRLT 296                        |BD*|15 31 56.737 +03 36 05.93  |     ~|     ~|     ~|     ~|     ~|L4.0           |   1|   0
511 |2MASS J10260013+3955085         |BD*|10 26 00.139 +39 55 08.55  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
512 |2MASS J14550283+2619202         |BD*|14 55 02.833 +26 19 20.29  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
513 |2MASS J02304442-3027275         |BD*|02 30 44.424 -30 27 27.60  |     ~|     ~|     ~|     ~|     ~|L1             |   2|   0
514 |2MASS J11271382-3735076         |BD*|11 27 13.820 -37 35 07.62  |     ~|     ~|     ~|     ~|     ~|L0             |   4|   0
515 |CFBDS J030226-143719            |BD*|03 02 26.67 -14 37 19.2    |     ~|     ~|     ~|     ~|     ~|T4.0           |   2|   0
516 |BRLT 274                        |BD*|15 09 27.838 +03 44 49.76  |     ~|     ~|     ~|     ~|     ~|L2.0           |   1|   0
517 |2MASSI J0859254-194926          |BD*|08 59 25.478 -19 49 26.89  |     ~|     ~|     ~|     ~|     ~|L8             |   9|   0
518 |2MASS J16195827-2832276         |BD*|16 19 58.279 -28 32 27.61  |     ~|     ~|     ~|     ~|     ~|L0.8           |   5|   0
519 |BRLT 297                        |BD*|15 32 56.885 -01 25 10.70  |     ~|     ~|     ~|     ~|     ~|L4.5           |   1|   0
520 |WISEP J031325.96+780744.2       |BD*|03 13 25.944 +78 07 44.35  |     ~|     ~|     ~|     ~|     ~|T8.5           |   6|   0
521 |2MASS J12173549+0708334         |BD*|12 17 35.497 +07 08 33.45  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
522 |2MASS J13414890+5510458         |BD*|13 41 48.910 +55 10 45.87  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
523 |WISE J122558.86-101345.0        |BD*|12 25 58.86 -10 13 45.0    |     ~|     ~|     ~|     ~|     ~|T6             |   3|   0
524 |2MASS J16503133+3523595         |BD*|16 50 31.334 +35 23 59.55  |     ~|     ~|     ~|     ~|     ~|L2             |   1|   0
525 |ULAS J231856.24+043328.5        |Ro*|23 18 56.24 +04 33 28.5    |     ~|     ~|     ~|     ~|     ~|T7.5           |   1|   0
526 |2MASS J08165370+3445359         |BD*|08 16 53.704 +34 45 35.98  |     ~|     ~|     ~|     ~|     ~|L2             |   1|   0
527 |2MASS J04455387-3048204         |BD*|04 45 53.875 -30 48 20.46  |     ~|     ~|     ~|     ~|     ~|L2             |  16|   0
528 |2MASSI J0328426+230305          |BD*|03 28 42.6 +23 03 05       |     ~|     ~|     ~|     ~|     ~|L8             |   1|   0
529 |2MASS J16322360+2839567         |BD*|16 32 23.603 +28 39 56.78  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
530 |2MASS J09153413+0422045         |BD*|09 15 34.137 +04 22 04.59  |     ~|     ~|     ~|     ~|     ~|L6             |  21|   0
531 |2MASS J08204440-7514571         |BD*|08 20 44.406 -75 14 57.20  |     ~|     ~|     ~|     ~|     ~|L3.5           |   1|   0
532 |2MASS J13571237+1428398         |BD*|13 57 12.379 +14 28 39.89  |     ~|     ~|     ~|     ~|     ~|L2             |   6|   0
533 |BRLT 331                        |BD*|23 21 22.629 -00 45 57.14  |     ~|     ~|     ~|     ~|     ~|L3.0           |   2|   0
534 |ULAS J020047.44+133755.1        |*  |02 00 47.440 +13 37 55.10  |     ~|     ~|     ~|     ~|     ~|T4             |   1|   0
535 |EQ J2343-7418                   |BD*|23 43 51.20 -74 18 47.0    |     ~|     ~|     ~|     ~|     ~|T6             |   3|   0
536 |2MASS J10551035+5110260         |BD*|10 55 10.350 +51 10 26.04  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
537 |CFHTWIR-Oph 104                 |BD*|16 28 11.61 -24 37 29.9    |     ~|     ~|     ~|     ~|     ~|L3             |   2|   0
538 |2MASS J15425873+1011397         |BD*|15 42 58.732 +10 11 39.72  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
539 |2MASS J05301261+6253254         |BD*|05 30 12.614 +62 53 25.49  |     ~|     ~|     ~|     ~|     ~|L1             |   2|   0
540 |2MASS J11151597+1937266         |BD*|11 15 15.978 +19 37 26.61  |     ~|     ~|     ~|     ~|     ~|L2             |   1|   0
541 |2MASSW J0242435+160739          |BD*|02 42 43.55 +16 07 39.3    |     ~|     ~|     ~|     ~|     ~|L1.5           |   5|   0
542 |2MASS J05253876-7426008         |BD*|05 25 38.762 -74 26 00.86  |     ~|     ~|     ~|     ~|     ~|L2             |   3|   0
543 |2MASS J11394192-0310039         |BD*|11 39 41.922 -03 10 03.91  |     ~|     ~|     ~|19.960|17.627|L0             |   3|   0
544 |2MASS J15450901+3555271         |BD*|15 45 09.014 +35 55 27.11  |     ~|     ~|     ~|     ~|     ~|L7.5           |   6|   0
545 |2MASSI J0218291-313322          |BD*|02 18 29.13 -31 33 23.1    |     ~|     ~|     ~|     ~|     ~|L3             |   7|   0
546 |EQ J0750+2725                   |BD*|07 50 03.84 +27 25 44.8    |     ~|     ~|     ~|     ~|     ~|T8.5           |   9|   0
547 |BRLT 155                        |BD*|12 05 45.925 +08 42 06.85  |     ~|     ~|     ~|     ~|     ~|L3.0           |   1|   0
548 |2MASS J15254696+0704408         |BD*|15 25 46.969 +07 04 40.83  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
549 |2MASS J11594804+3830165         |BD*|11 59 48.045 +38 30 16.52  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
550 |2MASS J01415823-4633574         |BD*|01 41 58.233 -46 33 57.43  |     ~|     ~|     ~|     ~|     ~|L2             |  52|   0
551 |WISE J143311.42-083736.4        |BD*|14 33 11.421 -08 37 36.48  |     ~|     ~|     ~|     ~|     ~|T8.0           |   2|   0
552 |2MASS J00470038+6803543         |BD*|00 47 00.387 +68 03 54.37  |     ~|     ~|     ~|     ~|     ~|L9pec          |  26|   0
553 |2MASS J06322402-5010349         |BD*|06 32 24.025 -50 10 34.98  |     ~|     ~|     ~|     ~|     ~|L3             |   6|   0
554 |2MASS J04510093-3402150         |BD*|04 51 00.93 -34 02 15.0    |     ~|     ~|     ~|     ~|     ~|L0.5           |  11|   0
555 |2MASS J07525942+4136344         |BD*|07 52 59.43 +41 36 34.6    |     ~|     ~|     ~|     ~|     ~|L0             |   6|   0
556 |2MASS J08254335-0029110         |BD*|08 25 43.351 -00 29 11.01  |     ~|     ~|     ~|     ~|     ~|L0.5           |   3|   0
557 |2MASS J17224432+6329470         |BD*|17 22 44.323 +63 29 47.02  |     ~|     ~|     ~|     ~|     ~|L0             |   5|   0
558 |WISE J103907.73-160002.9        |BD*|10 39 07.73 -16 00 02.9    |     ~|     ~|     ~|     ~|     ~|T7.5           |   3|   0
559 |2MASS J17114559+4028578         |BD*|17 11 45.59 +40 28 57.8    |     ~|     ~|     ~|     ~|     ~|L5             |   5|   1
560 |2MASS J13153094-2649513         |BD*|13 15 30.942 -26 49 51.33  |     ~|     ~|     ~|     ~|     ~|L3.5+T7        |  26|   1
561 |Cl* Melotte 25 CFHT 21          |LM?|04 29 22.7 +15 35 29       |     ~|     ~|     ~|     ~|22.16 |T1.0           |   3|   0
562 |SDSS J021248.51+221822.0        |BD*|02 12 48.512 +22 18 22.05  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
563 |WISEA J082507.37+280548.2       |BD*|08 25 07.357 +28 05 48.56  |     ~|     ~|     ~|     ~|     ~|Y0.5           |   3|   0
564 |[MS2009] Bootes 4               |BD*|14 29 50.80 +33 30 11.0    |     ~|     ~|     ~|     ~|22.21 |T4.5           |   5|   0
565 |2MASS J11124910-2044315         |BD*|11 12 49.106 -20 44 31.51  |     ~|     ~|     ~|     ~|     ~|L0.5           |   2|   0
566 |2MASS J21371044+1450475         |BD*|21 37 10.446 +14 50 47.58  |     ~|     ~|     ~|     ~|     ~|L2             |   5|   0
567 |2MUCD 20866                     |BD*|20 28 20.351 +00 52 26.56  |     ~|     ~|     ~|     ~|     ~|L2.5           |  26|   0
568 |2MASS J15031961+2525196         |BD*|15 03 19.613 +25 25 19.68  |     ~|     ~|     ~|     ~|     ~|T5.5           |  48|   0
569 |2MASS J10484281+0111580         |BD*|10 48 42.811 +01 11 58.07  |     ~|     ~|     ~|19.4  |15.9  |L1             |  34|   0
570 |BRLT 253                        |BD*|14 41 51.554 +04 37 38.48  |     ~|     ~|     ~|     ~|     ~|L1.0           |   1|   0
571 |BRLT 105                        |BD*|09 39 30.747 +06 53 09.83  |     ~|     ~|     ~|     ~|     ~|L5.0           |   1|   0
572 |ULAS J163931.52+323212.7        |Ro*|16 39 31.52 +32 32 12.7    |     ~|     ~|     ~|     ~|     ~|T3             |   1|   0
573 |2MASS J16322911+1904407         |BD*|16 32 29.114 +19 04 40.71  |     ~|     ~|     ~|22.42 |19.98 |L8             | 100|   0
574 |BRLT 299                        |BD*|15 40 38.872 -00 12 56.78  |     ~|     ~|     ~|     ~|     ~|L4.0           |   1|   0
575 |ULAS J013017.79+080453.9        |Ro*|01 30 17.79 +08 04 53.9    |     ~|     ~|     ~|     ~|     ~|T6             |   2|   0
576 |WISE J151314.61+401935.6        |BD*|15 13 14.62 +40 19 35.7    |     ~|     ~|     ~|     ~|     ~|L8             |   1|   0
577 |BRLT 119                        |BD*|10 03 10.968 +07 52 20.31  |     ~|     ~|     ~|     ~|     ~|L4.0           |   1|   0
578 |2MASS J15365938+0646507         |BD*|15 36 59.384 +06 46 50.79  |     ~|     ~|     ~|     ~|     ~|L2             |   1|   0
579 |2MASSI J0727182+171001          |BD*|07 27 18.25 +17 10 01.2    |     ~|     ~|     ~|     ~|     ~|T7.0           |  62|   0
580 |[SBF2009] PHL 5038B             |BD*|22 20 30.64 -00 41 07.1    |     ~|     ~|     ~|     ~|     ~|L8             |   2|   0
581 |WISEA J033515.07+431044.7       |BD*|03 35 15.01 +43 10 45.1    |     ~|     ~|     ~|     ~|     ~|T9             |   8|   0
582 |2MASS J17081563+2557474         |BD*|17 08 15.630 +25 57 47.44  |     ~|     ~|     ~|     ~|     ~|L5red          |   1|   0
583 |2MASS J15124058+3403501         |BD*|15 12 40.582 +34 03 50.18  |     ~|     ~|     ~|     ~|     ~|L3             |   2|   0
584 |ULAS J232600.40+020139.2        |Ro*|23 26 00.40 +02 01 39.2    |     ~|     ~|     ~|     ~|     ~|T8             |   3|   0
585 |CFHTWIR-Oph 100                 |BD?|16 27 46.54 -24 05 59.2    |     ~|     ~|     ~|     ~|     ~|L0             |   3|   0
586 |2MASSI J0755480+221218          |BD*|07 55 47.955 +22 12 16.94  |     ~|     ~|     ~|     ~|     ~|T5.2           |  23|   0
587 |2MUCD 20333                     |BD*|09 11 12.980 +74 01 08.14  |     ~|     ~|     ~|     ~|     ~|L0             |   8|   0
588 |2MASS J02572581-3105523         |BD*|02 57 25.818 -31 05 52.34  |     ~|     ~|     ~|     ~|     ~|L8.5           |  21|   0
589 |2MUCD 10088                     |BD*|01 44 35.364 -07 16 14.24  |     ~|     ~|     ~|     ~|     ~|L6.5           |  37|   0
590 |WISEP J232519.54-410534.9       |BD*|23 25 19.54 -41 05 34.9    |     ~|     ~|     ~|     ~|     ~|T9pec          |  10|   0
591 |2MASS J15050230-2853408         |BD*|15 05 02.309 -28 53 40.81  |     ~|     ~|     ~|     ~|     ~|T1.5           |   3|   0
592 |2MASS J14520183+1114590         |BD*|14 52 01.840 +11 14 59.00  |     ~|     ~|     ~|     ~|     ~|L2             |   2|   0
593 |2MASS J12403680+1525172         |BD*|12 40 36.810 +15 25 17.22  |     ~|     ~|     ~|     ~|     ~|L0             |   3|   0
594 |BRLT 314                        |BD*|22 37 56.919 +07 16 56.85  |     ~|     ~|     ~|     ~|     ~|L7.5           |   2|   0
595 |ULAS J103434.52-001553.0        |*  |10 34 34.52 -00 15 53.0    |     ~|     ~|     ~|     ~|     ~|T6.5p          |   3|   0
596 |WISE J083337.82+005214.1        |BD*|08 33 37.827 +00 52 14.20  |     ~|     ~|     ~|     ~|     ~|T9             |   2|   0
597 |2MASS J09353202+0147519         |BD*|09 35 32.029 +01 47 51.97  |     ~|     ~|     ~|     ~|     ~|L2.5           |   1|   0
598 |2MASS J17021945+3858410         |BD*|17 02 19.455 +38 58 41.05  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
599 |2MASS J08300825+4828482         |BD*|08 30 08.254 +48 28 48.29  |     ~|     ~|     ~|     ~|     ~|L9.5           |  31|   0
600 |BRLT 152                        |BD*|12 03 15.342 +09 50 54.87  |     ~|     ~|     ~|     ~|     ~|L0.0           |   1|   0
601 |Cl* Melotte 22 PLZJ 4           |BD*|03 54 10.27 +23 41 40.3    |     ~|     ~|     ~|24.02 |21.68 |L3.0           |   4|   1
602 |BRLT 24                         |BD*|01 16 45.474 +14 43 35.37  |     ~|     ~|     ~|     ~|     ~|L3.5           |   2|   0
603 |2MASS J08411948+2539011         |BD*|08 41 19.480 +25 39 01.17  |     ~|     ~|     ~|     ~|     ~|L0.5           |   1|   0
604 |* eps Ind B                     |BD*|22 04 10.52 -56 46 57.7    |     ~|     ~|24.12 |20.8  |15.60 |T1V+T6V        | 112|   2
605 |ULAS J142536.35+045132.3        |Ro*|14 25 36.35 +04 51 32.3    |     ~|     ~|     ~|     ~|     ~|T6.5           |   2|   0
606 |2MASS J06143818+3950357         |BD*|06 14 38.186 +39 50 35.76  |     ~|     ~|     ~|     ~|     ~|L9             |   1|   0
607 |ULAS J101821.78+072547.1        |BD*|10 18 21.78 +07 25 47.1    |     ~|     ~|     ~|     ~|     ~|T5             |   6|   0
608 |G 204-39B                       |BD*|17 58 05.455 +46 33 09.91  |     ~|     ~|     ~|     ~|     ~|T6.5           |  23|   0
609 |2MASS J21542494-1023022         |BD*|21 54 24.943 -10 23 02.22  |     ~|     ~|     ~|     ~|     ~|T4.5           |   4|   0
610 |BRLT 308                        |BD*|22 19 04.078 +06 30 59.17  |     ~|     ~|     ~|     ~|     ~|L5.0           |   1|   0
611 |2MASS J05265973-5026216         |BD*|05 26 59.734 -50 26 21.62  |     ~|     ~|     ~|     ~|     ~|L3             |   2|   0
612 |2MASS J00501994-3322402         |BD*|00 50 19.944 -33 22 40.27  |     ~|     ~|     ~|     ~|     ~|T7             |  22|   0
613 |ULAS J081948.09+073323.3        |*  |08 19 48.08 +07 33 23.3    |     ~|     ~|     ~|     ~|     ~|T6p            |   4|   0
614 |DENIS J144137.2-094558          |BD*|14 41 37.167 -09 45 59.00  |     ~|     ~|     ~|20.030|17.234|L1+L1          |  39|   1
615 |BRLT 338                        |BD*|23 30 02.138 +14 03 29.95  |     ~|     ~|     ~|     ~|     ~|L1.0           |   2|   0
616 |EQ J2239+1617                   |BD*|22 39 37.55 +16 17 16.2    |     ~|     ~|     ~|     ~|     ~|T3             |   3|   0
617 |WISE J054047.00+483232.4        |BD*|05 40 47.00 +48 32 32.4    |     ~|     ~|     ~|     ~|     ~|T8.5           |   3|   0
618 |CFBDS J151114+060742            |BD*|15 11 14.663 +06 07 43.17  |     ~|     ~|     ~|     ~|     ~|T0             |  21|   1
619 |2MASS J01253689-3435049         |BD*|01 25 36.90 -34 35 04.9    |     ~|     ~|     ~|     ~|     ~|L2             |   4|   2
620 |NAME Kelu-1                     |BD*|13 05 40.196 -25 41 05.99  |     ~|     ~|     ~|     ~|16.85 |L2+L3.5        | 212|   0
621 |2MASS J12320085+0223441         |BD*|12 32 00.85 +02 23 44.1    |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
622 |2MASS J22351658-3844154         |BD*|22 35 16.588 -38 44 15.42  |     ~|     ~|     ~|     ~|     ~|L1.5           |   3|   0
623 |WISE J041358.14-475039.3        |BD*|04 13 58.14 -47 50 39.3    |     ~|     ~|     ~|     ~|     ~|T9             |   5|   0
624 |EQ J1348+6603                   |BD*|13 48 06.99 +66 03 27.8    |     ~|     ~|     ~|     ~|     ~|L9             |   2|   0
625 |WISP J1305-2538                 |BD*|13 05 25.51 -25 38 28.8    |     ~|     ~|     ~|     ~|     ~|T9.5+          |   2|   1
626 |2MASS J08531912+1853422         |BD*|08 53 19.122 +18 53 42.20  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
627 |2MASS J15472723+0336361         |BD*|15 47 27.238 +03 36 36.16  |     ~|     ~|     ~|     ~|     ~|L2             |   7|   0
