tile,ra,dec,row
0000m016,0.00000000000000,-1.51444400000000,0
0000m031,0.00000000000000,-3.02888900000000,1
0000m046,0.00000000000000,-4.54333300000000,2
0000m061,0.00000000000000,-6.05777800000000,599
0000m076,0.00000000000000,-7.57222200000000,600
0000m091,0.00000000000000,-9.08666700000000,601
0000m107,0.00000000000000,-10.6011110000000,602
0000m122,0.00000000000000,-12.1155560000000,603
0000m137,0.00000000000000,-13.6300000000000,604
0000m152,0.00000000000000,-15.1444440000000,605
0000m167,0.00000000000000,-16.6588890000000,606
0000m182,0.00000000000000,-18.1733330000000,607
0000m197,0.00000000000000,-19.6877780000000,608
0000m213,0.00000000000000,-21.2022220000000,609
0000m228,0.00000000000000,-22.7166670000000,610
0000m243,0.00000000000000,-24.2311110000000,611
0000m258,0.00000000000000,-25.7455560000000,612
0000m273,0.00000000000000,-27.2600000000000,613
0000m288,0.00000000000000,-28.7744440000000,614
0000m303,0.00000000000000,-30.2888890000000,615
0000m319,0.00000000000000,-31.8033330000000,616
0000m334,0.00000000000000,-33.3177780000000,617
0000m349,0.00000000000000,-34.8322220000000,618
0000m364,0.00000000000000,-36.3466670000000,17618
0000m379,0.00000000000000,-37.8611110000000,619
0000m394,0.00000000000000,-39.3755560000000,620
0000m409,0.00000000000000,-40.8900000000000,621
0000m425,0.00000000000000,-42.4044440000000,622
0000m440,0.00000000000000,-43.9188890000000,623
0000m455,0.00000000000000,-45.4333330000000,624
0000m470,0.00000000000000,-46.9477780000000,625
0000m485,0.00000000000000,-48.4622220000000,626
0000m500,0.00000000000000,-49.9766670000000,3
0000m515,0.00000000000000,-51.4911110000000,4
0000m531,0.00000000000000,-53.0055560000000,5
0000m546,0.00000000000000,-54.5200000000000,6
0000m561,0.00000000000000,-56.0344440000000,7
0000m576,0.00000000000000,-57.5488890000000,8
0000m591,0.00000000000000,-59.0633330000000,9
0000m606,0.00000000000000,-60.5777780000000,627
0000m621,0.00000000000000,-62.0922220000000,628
0000m637,0.00000000000000,-63.6066670000000,629
0000m652,0.00000000000000,-65.1211110000000,630
0000m667,0.00000000000000,-66.6355560000000,631
0000m682,0.00000000000000,-68.1500000000000,17619
0000m697,0.00000000000000,-69.6644440000000,632
0000m712,0.00000000000000,-71.1788890000000,633
0000m727,0.00000000000000,-72.6933330000000,634
0000m743,0.00000000000000,-74.2077780000000,635
0000m758,0.00000000000000,-75.7222220000000,636
0000m773,0.00000000000000,-77.2366670000000,637
0000m788,0.00000000000000,-78.7511110000000,638
0000m803,0.00000000000000,-80.2655560000000,639
0000m818,0.00000000000000,-81.7800000000000,640
0000m833,0.00000000000000,-83.2944440000000,17019
0000m849,0.00000000000000,-84.8088890000000,10
0000m864,0.00000000000000,-86.3233330000000,11
0000m879,0.00000000000000,-87.8377780000000,12
0000m894,0.00000000000000,-89.3522220000000,13
0000p000,0.00000000000000,0.00000000000000,14
0000p015,0.00000000000000,1.51444400000000,15
0000p030,0.00000000000000,3.02888900000000,16
0000p045,0.00000000000000,4.54333300000000,17
0000p060,0.00000000000000,6.05777800000000,641
0000p075,0.00000000000000,7.57222200000000,642
0000p090,0.00000000000000,9.08666700000000,643
0000p106,0.00000000000000,10.6011110000000,644
0000p121,0.00000000000000,12.1155560000000,645
0000p136,0.00000000000000,13.6300000000000,646
0000p151,0.00000000000000,15.1444440000000,647
0000p166,0.00000000000000,16.6588890000000,648
0000p181,0.00000000000000,18.1733330000000,649
0000p196,0.00000000000000,19.6877780000000,650
0000p212,0.00000000000000,21.2022220000000,651
0000p227,0.00000000000000,22.7166670000000,652
0000p242,0.00000000000000,24.2311110000000,653
0000p257,0.00000000000000,25.7455560000000,654
0000p272,0.00000000000000,27.2600000000000,655
0000p287,0.00000000000000,28.7744440000000,15208
0000p302,0.00000000000000,30.2888890000000,656
0000p318,0.00000000000000,31.8033330000000,657
0000p333,0.00000000000000,33.3177780000000,658
0000p348,0.00000000000000,34.8322220000000,659
0000p363,0.00000000000000,36.3466670000000,660
0000p378,0.00000000000000,37.8611110000000,661
0000p393,0.00000000000000,39.3755560000000,662
0000p408,0.00000000000000,40.8900000000000,663
0000p424,0.00000000000000,42.4044440000000,17620
0000p439,0.00000000000000,43.9188890000000,16122
0000p454,0.00000000000000,45.4333330000000,664
0000p469,0.00000000000000,46.9477780000000,665
0000p484,0.00000000000000,48.4622220000000,666
0000p499,0.00000000000000,49.9766670000000,16123
0000p514,0.00000000000000,51.4911110000000,16124
0000p530,0.00000000000000,53.0055560000000,15209
0000p545,0.00000000000000,54.5200000000000,16125
0000p560,0.00000000000000,56.0344440000000,17020
0000p575,0.00000000000000,57.5488890000000,15210
0000p590,0.00000000000000,59.0633330000000,15211
0000p605,0.00000000000000,60.5777780000000,15212
0000p620,0.00000000000000,62.0922220000000,14719
0000p636,0.00000000000000,63.6066670000000,14325
0000p651,0.00000000000000,65.1211110000000,14326
0000p666,0.00000000000000,66.6355560000000,15213
0000p681,0.00000000000000,68.1500000000000,667
0000p696,0.00000000000000,69.6644440000000,668
0000p711,0.00000000000000,71.1788890000000,669
0000p726,0.00000000000000,72.6933330000000,670
0000p742,0.00000000000000,74.2077780000000,671
0000p757,0.00000000000000,75.7222220000000,672
0000p772,0.00000000000000,77.2366670000000,673
0000p787,0.00000000000000,78.7511110000000,17621
0000p802,0.00000000000000,80.2655560000000,16126
0000p817,0.00000000000000,81.7800000000000,17021
0000p832,0.00000000000000,83.2944440000000,674
0000p848,0.00000000000000,84.8088890000000,17022
0000p863,0.00000000000000,86.3233330000000,675
0000p878,0.00000000000000,87.8377780000000,676
0000p893,0.00000000000000,89.3522220000000,677
0015m016,1.51261100000000,-1.51444400000000,18
0015m031,1.51261200000000,-3.02888900000000,19
0015m046,1.51898600000000,-4.54333300000000,20
0015m061,1.51899300000000,-6.05777800000000,678
0015m076,1.52542400000000,-7.57222200000000,679
0015m091,1.53191400000000,-9.08666700000000,680
0015m107,1.53846000000000,-10.6011110000000,681
0015m122,1.54506400000000,-12.1155560000000,682
0015m137,1.55172900000000,-13.6300000000000,683
0015m152,1.56521500000000,-15.1444440000000,684
0015m167,1.57205900000000,-16.6588890000000,685
0015m182,1.58590700000000,-18.1733330000000,686
0015p000,1.51261100000000,0.00000000000000,21
0015p015,1.51261100000000,1.51444400000000,22
0015p030,1.51261200000000,3.02888900000000,23
0015p045,1.51898600000000,4.54333300000000,24
0015p060,1.51899300000000,6.05777800000000,687
0015p075,1.52542400000000,7.57222200000000,688
0015p090,1.53191400000000,9.08666700000000,689
0015p106,1.53846000000000,10.6011110000000,690
0015p121,1.54506400000000,12.1155560000000,691
0015p136,1.55172900000000,13.6300000000000,692
0015p151,1.56521500000000,15.1444440000000,693
0015p166,1.57205900000000,16.6588890000000,694
0015p181,1.58590700000000,18.1733330000000,695
0016m197,1.60000300000000,-19.6877780000000,696
0016m213,1.61435500000000,-21.2022220000000,697
0016m228,1.62896800000000,-22.7166670000000,698
0016m243,1.65137600000000,-24.2311110000000,699
0016m258,1.66667600000000,-25.7455560000000,700
0016m273,1.69014700000000,-27.2600000000000,701
0016p196,1.60000300000000,19.6877780000000,702
0016p212,1.61435500000000,21.2022220000000,703
0016p227,1.62896800000000,22.7166670000000,704
0016p242,1.65137600000000,24.2311110000000,705
0016p257,1.66667600000000,25.7455560000000,706
0016p272,1.69014700000000,27.2600000000000,707
0017m288,1.71428900000000,-28.7744440000000,708
0017m303,1.73913500000000,-30.2888890000000,709
0017m319,1.76471500000000,-31.8033330000000,710
0017m334,1.79999300000000,-33.3177780000000,711
0017p287,1.71428900000000,28.7744440000000,712
0017p302,1.73913500000000,30.2888890000000,713
0017p318,1.76471500000000,31.8033330000000,714
0017p333,1.79999300000000,33.3177780000000,715
0018m349,1.82741300000000,-34.8322220000000,716
0018m364,1.86527800000000,-36.3466670000000,717
0018m379,1.89474900000000,-37.8611110000000,16127
0018p348,1.82741300000000,34.8322220000000,718
0018p363,1.86527800000000,36.3466670000000,719
0018p378,1.89474900000000,37.8611110000000,720
0019m394,1.93549300000000,-39.3755560000000,17622
0019m409,1.97803100000000,-40.8900000000000,721
0019p393,1.93549300000000,39.3755560000000,722
0019p408,1.97803100000000,40.8900000000000,17623
0020m425,2.02248500000000,-42.4044440000000,723
0020m440,2.08091000000000,-43.9188890000000,724
0020p424,2.02248500000000,42.4044440000000,725
0020p439,2.08091000000000,43.9188890000000,726
0021m455,2.13017700000000,-45.4333330000000,727
0021m470,2.18183700000000,-46.9477780000000,728
0021p454,2.13017700000000,45.4333330000000,729
0021p469,2.18183700000000,46.9477780000000,730
0022m485,2.25000000000000,-48.4622220000000,731
0022p484,2.25000000000000,48.4622220000000,17023
0023m500,2.32256900000000,-49.9766670000000,732
0023m515,2.38413200000000,-51.4911110000000,733
0023p499,2.32256900000000,49.9766670000000,17024
0023p514,2.38413200000000,51.4911110000000,15214
0024m531,2.46578100000000,-53.0055560000000,734
0024p530,2.46578100000000,53.0055560000000,16128
0025m546,2.55322200000000,-54.5200000000000,735
0025p545,2.55322200000000,54.5200000000000,15215
0026m561,2.66663200000000,-56.0344440000000,736
0026p560,2.66663200000000,56.0344440000000,16129
0027m576,2.76921800000000,-57.5488890000000,737
0027p575,2.76921800000000,57.5488890000000,15216
0028m591,2.88000400000000,-59.0633330000000,738
0028p590,2.88000400000000,59.0633330000000,15217
0030m016,3.02522100000000,-1.51444400000000,25
0030m031,3.02522300000000,-3.02888900000000,26
0030m046,3.03797300000000,-4.54333300000000,27
0030m061,3.03798600000000,-6.05777800000000,739
0030m076,3.05084700000000,-7.57222200000000,740
0030m091,3.06382700000000,-9.08666700000000,741
0030m107,3.07692000000000,-10.6011110000000,742
0030m122,3.09012800000000,-12.1155560000000,743
0030m606,3.00005000000000,-60.5777780000000,744
0030p000,3.02522200000000,0.00000000000000,28
0030p015,3.02522100000000,1.51444400000000,29
0030p030,3.02522300000000,3.02888900000000,30
0030p045,3.03797300000000,4.54333300000000,31
0030p060,3.03798600000000,6.05777800000000,745
0030p075,3.05084700000000,7.57222200000000,746
0030p090,3.06382700000000,9.08666700000000,747
0030p106,3.07692000000000,10.6011110000000,748
0030p121,3.09012800000000,12.1155560000000,749
0030p605,3.00005000000000,60.5777780000000,14720
0031m137,3.10345900000000,-13.6300000000000,750
0031m152,3.13043000000000,-15.1444440000000,751
0031m167,3.14411900000000,-16.6588890000000,752
0031m182,3.17181400000000,-18.1733330000000,753
0031m621,3.15789100000000,-62.0922220000000,754
0031p136,3.10345900000000,13.6300000000000,755
0031p151,3.13043000000000,15.1444440000000,756
0031p166,3.14411900000000,16.6588890000000,757
0031p181,3.17181400000000,18.1733330000000,758
0031p620,3.15789100000000,62.0922220000000,14327
0032m197,3.20000600000000,-19.6877780000000,759
0032m213,3.22871100000000,-21.2022220000000,760
0032m228,3.25793500000000,-22.7166670000000,761
0032p196,3.20000600000000,19.6877780000000,762
0032p212,3.22871100000000,21.2022220000000,763
0032p227,3.25793500000000,22.7166670000000,764
0033m243,3.30275200000000,-24.2311110000000,765
0033m258,3.33335100000000,-25.7455560000000,766
0033m273,3.38029500000000,-27.2600000000000,767
0033m637,3.30282000000000,-63.6066670000000,768
0033p242,3.30275200000000,24.2311110000000,769
0033p257,3.33335100000000,25.7455560000000,770
0033p272,3.38029500000000,27.2600000000000,771
0033p636,3.30282000000000,63.6066670000000,14328
0034m288,3.42857800000000,-28.7744440000000,772
0034m303,3.47826900000000,-30.2888890000000,773
0034m652,3.49516400000000,-65.1211110000000,774
0034p287,3.42857800000000,28.7744440000000,775
0034p302,3.47826900000000,30.2888890000000,776
0034p651,3.49516400000000,65.1211110000000,15218
0035m319,3.52942900000000,-31.8033330000000,777
0035m334,3.59998500000000,-33.3177780000000,778
0035p318,3.52942900000000,31.8033330000000,779
0035p333,3.59998500000000,33.3177780000000,780
0036m349,3.65482600000000,-34.8322220000000,781
0036p348,3.65482600000000,34.8322220000000,782
0037m364,3.73055600000000,-36.3466670000000,783
0037m379,3.78949800000000,-37.8611110000000,784
0037m667,3.71131700000000,-66.6355560000000,785
0037p363,3.73055600000000,36.3466670000000,786
0037p378,3.78949800000000,37.8611110000000,787
0037p666,3.71131700000000,66.6355560000000,788
0038m394,3.87098600000000,-39.3755560000000,789
0038p393,3.87098600000000,39.3755560000000,790
0039m409,3.95606200000000,-40.8900000000000,15219
0039m682,3.95593700000000,-68.1500000000000,17624
0039p408,3.95606200000000,40.8900000000000,791
0039p681,3.95593700000000,68.1500000000000,792
0040m425,4.04497100000000,-42.4044440000000,15220
0040p424,4.04497100000000,42.4044440000000,793
0041m440,4.16182000000000,-43.9188890000000,794
0041m697,4.18617600000000,-69.6644440000000,16130
0041p439,4.16182000000000,43.9188890000000,795
0041p696,4.18617600000000,69.6644440000000,796
0042m455,4.26035300000000,-45.4333330000000,797
0042p454,4.26035300000000,45.4333330000000,16131
0043m470,4.36367400000000,-46.9477780000000,798
0043p469,4.36367400000000,46.9477780000000,17025
0044m485,4.50000000000000,-48.4622220000000,799
0044p484,4.50000000000000,48.4622220000000,16132
0045m016,4.53783200000000,-1.51444400000000,32
0045m031,4.53783500000000,-3.02888900000000,33
0045m046,4.55695900000000,-4.54333300000000,34
0045m061,4.55697900000000,-6.05777800000000,800
0045m076,4.57627100000000,-7.57222200000000,801
0045m091,4.59574100000000,-9.08666700000000,802
0045m712,4.50013000000000,-71.1788890000000,803
0045p000,4.53783200000000,0.00000000000000,35
0045p015,4.53783200000000,1.51444400000000,36
0045p030,4.53783500000000,3.02888900000000,37
0045p045,4.55695900000000,4.54333300000000,38
0045p060,4.55697900000000,6.05777800000000,804
0045p075,4.57627100000000,7.57222200000000,805
0045p090,4.59574100000000,9.08666700000000,806
0045p711,4.50013000000000,71.1788890000000,807
0046m107,4.61538000000000,-10.6011110000000,808
0046m122,4.63519300000000,-12.1155560000000,809
0046m137,4.65518800000000,-13.6300000000000,810
0046m152,4.69564500000000,-15.1444440000000,811
0046m500,4.64513900000000,-49.9766670000000,812
0046p106,4.61538000000000,10.6011110000000,813
0046p121,4.63519300000000,12.1155560000000,814
0046p136,4.65518800000000,13.6300000000000,815
0046p151,4.69564500000000,15.1444440000000,816
0046p499,4.64513900000000,49.9766670000000,17026
0047m167,4.71617800000000,-16.6588890000000,817
0047m182,4.75772100000000,-18.1733330000000,818
0047m515,4.76826400000000,-51.4911110000000,819
0047p166,4.71617800000000,16.6588890000000,820
0047p181,4.75772100000000,18.1733330000000,821
0047p514,4.76826400000000,51.4911110000000,15221
0048m197,4.80000900000000,-19.6877780000000,822
0048m213,4.84306600000000,-21.2022220000000,823
0048m228,4.88690300000000,-22.7166670000000,824
0048m727,4.86500200000000,-72.6933330000000,825
0048p196,4.80000900000000,19.6877780000000,826
0048p212,4.84306600000000,21.2022220000000,827
0048p227,4.88690300000000,22.7166670000000,828
0048p726,4.86500200000000,72.6933330000000,829
0049m243,4.95412800000000,-24.2311110000000,830
0049m531,4.93156100000000,-53.0055560000000,831
0049p242,4.95412800000000,24.2311110000000,832
0049p530,4.93156100000000,53.0055560000000,17027
